"","harvest_date","harvest_moisture_pct","height_in","planting_date","yield_lb_acre","Year","Hybrid"
"1","19970930",8.4,"57","19970529",2542,1997,"AP2098"
"2","19970930",9.9,"62","19970529",2179,1997,"AP3470"
"3","19970930",11,"56","19970529",2510,1997,"AK7304"
"4","19970930",10,"60","19970529",2225,1997,"AK7305"
"5","19970930",10.3,"58","19970529",2208,1997,"AK7306"
"6","19970930",9.7,"58","19970529",2326,1997,"AK7311"
"7","19970930",9.7,"66","19970529",2319,1997,"AS3211"
"8","19970930",8.1,"60","19970529",2224,1997,"AS471"
"9","19970930",9.5,"60","19970529",2253,1997,"AS5101"
"10","19970930",9.9,"54","19970529",2246,1997,"AS5202"
"11","19970930",10.1,"54","19970529",2378,1997,"AS5303"
"12","19970930",11.6,"62","19970529",2181,1997,"AS6305"
"13","19970930",10,"54","19970529",2203,1997,"ELISOL"
"14","19970930",9.2,"56","19970529",2322,1997,"SF128"
"15","19970930",13,"48","19970529",2810,1997,"SF187"
"16","19970930",9.9,"51","19970529",2263,1997,"AF270"
"17","19970930",15.1,"57","19970529",2345,1997,"X1221"
"18","19970930",8.9,"41","19970529",2291,1997,"X3210"
"19","19970930",10.1,"51","19970529",2598,1997,"X3272"
"20","19970930",15.3,"52","19970529",2450,1997,"X6005"
"21","19970930",9.6,"57","19970529",2282,1997,"X6007"
"22","19970930",9.1,"57","19970529",2495,1997,"XRIGASOL"
"23","19970930",9.3,"65","19970529",2116,1997,"253"
"24","19970930",9.4,"50","19970529",2409,1997,"745"
"25","19970930",9.6,"56","19970529",2152,1997,"757"
"26","19970930",8.6,"49","19970529",2643,1997,"803"
"27","19970930",11.5,"56","19970529",2092,1997,"810"
"28","19970930",13,"63","19970529",1990,1997,"815"
"29","19970930",10.5,"54","19970529",1903,1997,"821"
"30","19970930",7.6,"55","19970529",1870,1997,"DK3790"
"31","19970930",9.9,"55","19970529",2317,1997,"DK3868"
"32","19970930",11.5,"57","19970529",2604,1997,"DK3875"
"33","19970930",8.3,"59","19970529",2307,1997,"EXP6861"
"34","19970930",9.1,"61","19970529",2238,1997,"EXP7793"
"35","19970930",9,"52","19970529",2199,1997,"EXP7806"
"36","19970930",10.3,"56","19970529",2206,1997,"ST2102"
"37","19970930",11.2,"53","19970529",2628,1997,"ST2103"
"38","19970930",9.7,"55","19970529",2415,1997,"ST2109"
"39","19970930",9.7,"57","19970529",2514,1997,"ST2115"
"40","19970930",9.5,"na","19970529",2381,1997,"ST2117"
"41","19970930",9.4,"60","19970529",2117,1997,"PANX9701"
"42","19970930",9.8,"60","19970529",2559,1997,"PANX9702"
"43","19970930",10,"63","19970529",2312,1997,"IS3137"
"44","19970930",11.2,"50","19970529",2213,1997,"IS5077"
"45","19970930",8.7,"58","19970529",2502,1997,"IS5757"
"46","19970930",10.6,"65","19970529",2787,1997,"IS6077"
"47","19970930",9,"43","19970529",2476,1997,"IS6111"
"48","19970930",10.5,"57","19970529",2366,1997,"IS6767"
"49","19970930",9.5,"56","19970529",2219,1997,"ISEXP54475"
"50","19970930",10.4,"51","19970529",2247,1997,"ISEXP21840"
"51","19970930",9.2,"62","19970529",2100,1997,"ISEXP33204"
"52","19970930",9.1,"50","19970529",2197,1997,"INT 425"
"53","19970930",9.8,"61","19970529",2349,1997,"INT 435"
"54","19970930",12.4,"62","19970529",2344,1997,"INT 450"
"55","19970930",9.1,"56","19970529",1991,1997,"8300"
"56","19970930",9.7,"62","19970529",2558,1997,"8500"
"57","19970930",11.1,"53","19970529",1999,1997,"9103"
"58","19970930",10.8,"57","19970529",1844,1997,"9301"
"59","19970930",9.8,"59","19970529",2359,1997,"658"
"60","19970930",10.1,"54","19970529",2417,1997,"8310"
"61","19970930",10.6,"56","19970529",2427,1997,"8370"
"62","19970930",12,"63","19970529",2552,1997,"Cavalry"
"63","19970930",9.8,"51","19970529",2424,1997,"Comet"
"64","19970930",10.4,"58","19970529",1901,1997,"X87321"
"65","19970930",8.8,"52","19970529",2229,1997,"X11064"
"66","19970930",12.3,"57","19970529",2941,1997,"X11604"
"67","19970930",11.9,"55","19970529",2460,1997,"259"
"68","19970930",12.9,"60","19970529",2513,1997,"278"
"69","19970930",9,"52","19970529",2580,1997,"231"
"70","19970930",9.6,"61","19970529",2187,1997,"232"
"71","19970930",8.8,"55","19970529",2212,1997,"6300"
"72","19970930",11.9,"62","19970529",2519,1997,"6338"
"73","19970930",11.4,"60","19970529",2119,1997,"63A51"
"74","19970930",10,"49","19970529",2807,1997,"63A81"
"75","19970930",10,"61","19970529",2226,1997,"XF266"
"76","19970930",10.1,"60","19970529",2561,1997,"XF468"
"77","19970930",10.2,"63","19970529",2364,1997,"107"
"78","19970930",8.6,"56","19970529",2178,1997,"140"
"79","19970930",8.3,"59","19970529",2009,1997,"141"
"80","19970930",8,"58","19970529",1951,1997,"143"
"81","19970930",8.2,"63","19970529",2530,1997,"9215"
"82","19970930",8.6,"58","19970529",2519,1997,"9310"
"83","19970930",8,"56","19970529",2363,1997,"9815"
"84","19970930",8.6,"57","19970529",2285,1997,"9877"
"85","19970930",10.2,"57","19970529",2545,1997,"EX9315"
"86","19970930",8.6,"57","19970529",1795,1997,"EX9403"
"87","19970930",8.8,"58","19970529",2122,1997,"EX9410"
